frequency_thz,phdos_modes_per_thz
10.95320137,2.7513648858
10.96813979,2.6390279844
10.98307821,2.5308888808
10.99801664,2.4283030710
11.01295506,2.3321391770
11.02789348,2.2428463008
11.04283190,2.1605469877
11.05777033,2.0850636076
11.07270875,2.0160210413
11.08764717,1.9529024303
11.10258560,1.8951003967
11.11752402,1.8419460770
11.13246244,1.7927457677
11.14740086,1.7467926193
11.16233929,1.7033964235
11.17727771,1.6618903920
11.19221613,1.6216645480
11.20715456,1.5821456267
11.22209298,1.5428648891
11.23703140,1.5034366338
11.25196982,1.4636024540
11.26690825,1.4232181876
11.28184667,1.3822873681
11.29678509,1.3409411895
11.31172352,1.2994366610
11.32666194,1.2581448329
11.34160036,1.2175092642
11.35653878,1.1780357481
11.37147721,1.1402325082
11.38641563,1.1045820620
11.40135405,1.0715062500
11.41629248,1.0413307407
11.43123090,1.0142668326
11.44616932,0.9903799029
11.46110774,0.9696097623
11.47604617,0.9517658800
11.49098459,0.9365481793
11.50592301,0.9235782927
11.52086144,0.9124207947
11.53579986,0.9026230940
11.55073828,0.8937485964
11.56567670,0.8853946343
11.58061513,0.8772231060
11.59555355,0.8689750352
11.61049197,0.8604712035
11.62543040,0.8516176856
11.64036882,0.8423977429
11.65530724,0.8328531754
11.67024566,0.8230763387
11.68518409,0.8131966847
11.70012251,0.8033559331
11.71506093,0.7936932860
11.72999936,0.7843322662
11.74493778,0.7753761472
11.75987620,0.7668972469
11.77481462,0.7589254653
11.78975305,0.7514597591
11.80469147,0.7444656599
11.81962989,0.7378823908
11.83456832,0.7316299004
11.84950674,0.7256157011
11.86444516,0.7197436001
11.87938358,0.7139280764
11.89432201,0.7080981846
11.90926043,0.7022068636
11.92419885,0.6962347811
11.93913728,0.6901877043
11.95407570,0.6840909923
11.96901412,0.6779988397
11.98395254,0.6719694090
11.99889097,0.6660732279
12.01382939,0.6603764569
12.02876781,0.6549342436
12.04370624,0.6497857544
12.05864466,0.6449516039
12.07358308,0.6404273385
12.08852150,0.6361865812
12.10345993,0.6321790986
12.11839835,0.6283397485
12.13333677,0.6245929516
12.14827520,0.6208532545
12.16321362,0.6170343837
12.17815204,0.6130631853
12.19309046,0.6088715121
12.20802889,0.6044172752
12.22296731,0.5996712325
12.23790573,0.5946299963
12.25284416,0.5893120069
12.26778258,0.5837568428
12.28272100,0.5780182401
12.29765942,0.5721661422
12.31259785,0.5662832253
12.32753627,0.5604519013
12.34247469,0.5547529913
12.35741312,0.5492577876
12.37235154,0.5440255739
12.38728996,0.5390935839
12.40222838,0.5344744695
12.41716681,0.5301469256
12.43210523,0.5260608564
12.44704365,0.5221422947
12.46198208,0.5182970114
12.47692050,0.5144136629
12.49185892,0.5103779476
12.50679734,0.5060885229
12.52173577,0.5014576300
12.53667419,0.4964200237
12.55161261,0.4909522255
12.56655104,0.4850503235
12.58148946,0.4787501176
12.59642788,0.4721069994
12.61136630,0.4651938755
12.62630473,0.4580960802
12.64124315,0.4508985884
12.65618157,0.4436784083
12.67112000,0.4365039599
12.68605842,0.4294251998
12.70099684,0.4224701956
12.71593526,0.4156404833
12.73087369,0.4089166549
12.74581211,0.4022497991
12.76075053,0.3955690932
12.77568896,0.3887845328
12.79062738,0.3817866750
12.80556580,0.3744587731
12.82050422,0.3666833358
12.83544265,0.3583502701
12.85038107,0.3493695236
12.86531949,0.3396762380
12.88025792,0.3292419056
12.89519634,0.3180749791
12.91013476,0.3062230788
12.92507318,0.2937725030
12.94001161,0.2808419172
12.95495003,0.2675741431
12.96988845,0.2541289289
12.98482688,0.2406692425
12.99976530,0.2273554358
13.01470372,0.2143383630
13.02964214,0.2017501982
13.04458057,0.1897002837
13.05951899,0.1782843336
13.07445741,0.1675673865
13.08939584,0.1576018876
13.10433426,0.1484201245
13.11927268,0.1400417891
13.13421110,0.1324733221
13.14914953,0.1257137958
13.16408795,0.1197527130
13.17902637,0.1145764529
13.19396480,0.1101631566
13.20890322,0.1064917270
13.22384164,0.1035399661
13.23878006,0.1012933516
13.25371849,0.0997379334
13.26865691,0.0988707760
13.28359533,0.0986992703
13.29853376,0.0992402286
13.31347218,0.1005215437
13.32841060,0.1025819042
13.34334902,0.1054589517
13.35828745,0.1091988242
13.37322587,0.1138432210
13.38816429,0.1194285836
13.40310272,0.1259790356
13.41804114,0.1335059005
13.43297956,0.1420012507
13.44791798,0.1514387353
13.46285641,0.1617674697
13.47779483,0.1729137915
13.49273325,0.1847843167
13.50767168,0.1972612203
13.52261010,0.2102107759
13.53754852,0.2234869799
13.55248694,0.2369317191
13.56742537,0.2503902591
13.58236379,0.2637148514
13.59730221,0.2767723724
13.61224064,0.2894485621
13.62717906,0.3016599901
13.64211748,0.3133505059
13.65705590,0.3244985925
13.67199433,0.3351162508
13.68693275,0.3452439111
13.70187117,0.3549483478
13.71680960,0.3643199345
13.73174802,0.3734555785
13.74668644,0.3824626734
13.76162486,0.3914376872
13.77656329,0.4004635516
13.79150171,0.4095988965
13.80644013,0.4188782826
13.82137856,0.4282999202
13.83631698,0.4378381457
13.85125540,0.4474382442
13.86619382,0.4570302506
13.88113225,0.4665324435
13.89607067,0.4758692024
13.91100909,0.4849736474
13.92594752,0.4938032380
13.94088594,0.5023381722
13.95582436,0.5105848175
13.97076278,0.5185722025
13.98570121,0.5263488887
14.00063963,0.5339720833
14.01557805,0.5415079874
14.03051648,0.5490131039
14.04545490,0.5565361794
14.06039332,0.5641185693
14.07533174,0.5717830610
14.09027017,0.5795421824
14.10520859,0.5873925437
14.12014701,0.5953248018
14.13508544,0.6033156075
14.15002386,0.6113401806
14.16496228,0.6193689057
14.17990070,0.6273662588
14.19483913,0.6352991968
14.20977755,0.6431323643
14.22471597,0.6508391291
14.23965440,0.6583919971
14.25459282,0.6657689016
14.26953124,0.6729536531
14.28446966,0.6799322262
14.29940809,0.6866972218
14.31434651,0.6932377744
14.32928493,0.6995427229
14.34422336,0.7056024646
14.35916178,0.7114025261
14.37410020,0.7169292580
14.38903862,0.7221698023
14.40397705,0.7271160318
14.41891547,0.7317697855
14.43385389,0.7361398871
14.44879232,0.7402513524
14.46373074,0.7441376560
14.47866916,0.7478414355
14.49360758,0.7514071177
14.50854601,0.7548789499
14.52348443,0.7582923219
14.53842285,0.7616683962
14.55336128,0.7650053513
14.56829970,0.7682854729
14.58323812,0.7714662596
14.59817654,0.7744958728
14.61311497,0.7773120040
14.62805339,0.7798456569
14.64299181,0.7820371611
14.65793024,0.7838371168
14.67286866,0.7852160241
14.68780708,0.7861647649
14.70274550,0.7866935559
14.71768393,0.7868343902
14.73262235,0.7866247845
14.74756077,0.7861174244
14.76249920,0.7853605830
14.77743762,0.7844024014
14.79237604,0.7832809835
14.80731446,0.7820327982
14.82225289,0.7806875938
14.83719131,0.7792716599
14.85212973,0.7778175536
14.86706816,0.7763561712
14.88200658,0.7749299003
14.89694500,0.7735824841
14.91188342,0.7723595557
14.92682185,0.7713092577
14.94176027,0.7704713223
14.95669869,0.7698752709
14.97163712,0.7695334038
14.98657554,0.7694475019
15.00151396,0.7695968105
15.01645238,0.7699469025
15.03139081,0.7704596433
15.04632923,0.7710951732
15.06126765,0.7718136984
15.07620608,0.7725900311
15.09114450,0.7734097648
15.10608292,0.7742720983
15.12102134,0.7751903917
15.13595977,0.7761825798
15.15089819,0.7772718927
15.16583661,0.7784728694
15.18077504,0.7797997168
15.19571346,0.7812476829
15.21065188,0.7828025076
15.22559030,0.7844362048
15.24052873,0.7861189392
15.25546715,0.7878131630
15.27040557,0.7894893712
15.28534399,0.7911250370
15.30028242,0.7927154658
15.31522084,0.7942611546
15.33015926,0.7957816263
15.34509769,0.7972988784
15.36003611,0.7988336736
15.37497453,0.8004042955
15.38991295,0.8020081477
15.40485138,0.8036287552
15.41978980,0.8052211204
15.43472822,0.8067187324
15.44966665,0.8080306113
15.46460507,0.8090556638
15.47954349,0.8096806957
15.49448191,0.8097949636
15.50942034,0.8092907664
